"mes","casos_internado","casos_nao_internado","casos_nao_atendido","total_atendidos","total_respondentes","pct_internado","pct_nao_internado","pct_nao_atendido"
"05","200","1545","36","1745","1781","11.461318051575931","88.53868194842407","2.021336327905671"
"06","227","1468","35","1695","1730","13.392330383480825","86.60766961651917","2.023121387283237"
"07","265","2465","58","2730","2788","9.706959706959706","90.29304029304029","2.0803443328550935"
"08","253","2242","28","2495","2523","10.140280561122244","89.85971943887776","1.109789932619897"
"09","199","1665","15","1864","1879","10.67596566523605","89.32403433476395","0.7982969664715274"
"10","182","1650","20","1832","1852","9.934497816593886","90.06550218340611","1.079913606911447"
"11","198","1873","25","2071","2096","9.56059874456784","90.43940125543216","1.1927480916030535"
